nome,cognome,email,password
Giulia,Conti,giulia.conti@example.com,7pKf9Vq2!nL3
Marco,Rossi,marco.rossi@example.com,Xt4M9zQ1#sH8
Sara,Bianchi,sara.bianchi@example.com,4Nw!8cR2pT6k
Luca,Ferrari,luca.ferrari@example.com,H9v2Jm#5qZ7n
Chiara,Romano,chiara.romano@example.com,3fK7!Lp9Vx2a
Davide,Esposito,davide.esposito@example.com,Q6n1!tR8mP4y
Elena,Russo,elena.russo@example.com,8Zq3!vN5sL1d
Andrea,Gallo,andrea.gallo@example.com,M2p9!Xc7kT5u
Francesca,Greco,francesca.greco@example.com,5hV1!Qz8nR3b
Matteo,Colombo,matteo.colombo@example.com,Yn7!4pL2mK9x
